2024-04-01T12:51:34.486+02:00 r= ip=  INFO 42791 --- [wendys-tournament-management] [main] .a.i.SeprIndividualAssignmentApplication : Starting SeprIndividualAssignmentApplication using Java 21 with PID 42791 (/Users/deluxe/uni/ss2024/sepr/projekt/backend/target/classes started by deluxe in /Users/deluxe/uni/ss2024/sepr/projekt/backend)
2024-04-01T12:51:34.501+02:00 r= ip=  INFO 42791 --- [wendys-tournament-management] [main] .a.i.SeprIndividualAssignmentApplication : No active profile set, falling back to 1 default profile: "default"
2024-04-01T12:52:30.830+02:00 r=8c1124ea97f2 ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-5] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses UA=Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:124.0) Gecko/20100101 Firefox/124.0
2024-04-01T12:52:30.832+02:00 r=8c1124ea97f2 ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-5] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses
2024-04-01T12:52:30.847+02:00 r=8c1124ea97f2 ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-5] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses status=200 time=16ms
2024-04-01T12:55:08.802+02:00 r=107ef1179045 ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-7] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses?sex=FEMALE UA=Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:124.0) Gecko/20100101 Firefox/124.0
2024-04-01T12:55:08.828+02:00 r=107ef1179045 ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-7] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses
2024-04-01T12:55:08.849+02:00 r=107ef1179045 ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-7] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses?sex=FEMALE status=200 time=43ms
2024-04-01T12:55:55.290+02:00 r=528f2c62e54c ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-8] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses/60 UA=Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:124.0) Gecko/20100101 Firefox/124.0
2024-04-01T12:55:55.294+02:00 r=528f2c62e54c ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-8] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses/60
2024-04-01T12:55:55.304+02:00 r=528f2c62e54c ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-8] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses/60 status=200 time=12ms
2024-04-01T12:55:59.162+02:00 r=72d34292ae89 ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-9] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses UA=Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:124.0) Gecko/20100101 Firefox/124.0
2024-04-01T12:55:59.169+02:00 r=72d34292ae89 ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-9] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses
2024-04-01T12:55:59.201+02:00 r=72d34292ae89 ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-9] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses status=200 time=37ms
2024-04-01T12:56:03.260+02:00 r=04e70cf48baf ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-10] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses/1 UA=Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:124.0) Gecko/20100101 Firefox/124.0
2024-04-01T12:56:03.265+02:00 r=04e70cf48baf ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-10] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses/1
2024-04-01T12:56:03.280+02:00 r=04e70cf48baf ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-10] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses/1 status=200 time=19ms
2024-04-01T12:58:20.499+02:00 r=4e98a609264b ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-2] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses/1 UA=Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:124.0) Gecko/20100101 Firefox/124.0
2024-04-01T12:58:20.509+02:00 r=4e98a609264b ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-2] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses/1
2024-04-01T12:58:20.517+02:00 r=4e98a609264b ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-2] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses/1 status=200 time=14ms
2024-04-01T13:03:58.282+02:00 r=2c95dff0fdcc ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-4] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses/1 UA=Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:124.0) Gecko/20100101 Firefox/124.0
2024-04-01T13:03:58.290+02:00 r=2c95dff0fdcc ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-4] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses/1
2024-04-01T13:03:58.296+02:00 r=2c95dff0fdcc ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-4] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses/1 status=200 time=12ms
2024-04-01T13:04:00.867+02:00 r=9c05d4b828d7 ip=127.0.0.1  INFO 42791 --- [wendys-tournament-management] [http-nio-8080-exec-5] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses/1 UA=Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:124.0) Gecko/20100101 Firefox/124.0
